2023-04-08 13:28:35,948 - logger - INFO - 第7200次迭代，探索步长限制300，角度最小误差2.45566562928623e-05，最大累积奖励-8062.258900957498, 最小步数300, eps=0.5094, lr=0.5094
2023-04-08 13:28:41,413 - logger - INFO - 第7300次迭代，探索步长限制300，角度最小误差5.264810469851611e-05，最大累积奖励-9167.585254845872, 最小步数300, eps=0.5094, lr=0.5094
2023-04-08 13:28:46,964 - logger - INFO - 第7400次迭代，探索步长限制300，角度最小误差0.00010092947769457794，最大累积奖励-9431.90043820822, 最小步数300, eps=0.5094, lr=0.5094
2023-04-08 13:28:52,459 - logger - INFO - 第7500次迭代，探索步长限制300，角度最小误差0.0002802090840812177，最大累积奖励-9288.239687913925, 最小步数300, eps=0.2883204, lr=0.5094
2023-04-08 13:28:57,906 - logger - INFO - 第7600次迭代，探索步长限制300，角度最小误差0.00022417401953411797，最大累积奖励-7139.365893415006, 最小步数300, eps=0.2883204, lr=0.5094
2023-04-08 13:29:03,384 - logger - INFO - 第7700次迭代，探索步长限制300，角度最小误差0.00017296824225132568，最大累积奖励-7211.9821950194455, 最小步数300, eps=0.2883204, lr=0.5094
2023-04-08 13:29:08,902 - logger - INFO - 第7800次迭代，探索步长限制300，角度最小误差1.149968431812809e-05，最大累积奖励-7175.14004201547, 最小步数300, eps=0.2883204, lr=0.5094
2023-04-08 13:29:14,350 - logger - INFO - 第7900次迭代，探索步长限制300，角度最小误差0.00010388210576639523，最大累积奖励-6742.495641957459, 最小步数300, eps=0.2883204, lr=0.5094
2023-04-08 13:29:19,758 - logger - INFO - 第8000次迭代，探索步长限制300，角度最小误差3.539552650710931e-05，最大累积奖励-6947.371740152855, 最小步数300, eps=0.2883204, lr=0.5094
2023-04-08 13:29:25,337 - logger - INFO - 第8100次迭代，探索步长限制300，角度最小误差0.00017983792183073888，最大累积奖励-7042.98368650794, 最小步数300, eps=0.2883204, lr=0.5094
2023-04-08 13:29:30,998 - logger - INFO - 第8200次迭代，探索步长限制300，角度最小误差6.489703840273364e-05，最大累积奖励-6567.309640155007, 最小步数300, eps=0.2883204, lr=0.5094
2023-04-08 13:29:36,557 - logger - INFO - 第8300次迭代，探索步长限制300，角度最小误差9.467160192810908e-05，最大累积奖励-6717.203981752643, 最小步数300, eps=0.2883204, lr=0.5094
2023-04-08 13:29:42,153 - logger - INFO - 第8400次迭代，探索步长限制300，角度最小误差1.4715671961873511e-05，最大累积奖励-6550.384956082372, 最小步数300, eps=0.2883204, lr=0.5094
2023-04-08 13:29:47,694 - logger - INFO - 第8500次迭代，探索步长限制300，角度最小误差2.5155961731027077e-05，最大累积奖励-6793.795237749772, 最小步数300, eps=0.2883204, lr=0.5094
2023-04-08 13:29:53,213 - logger - INFO - 第8600次迭代，探索步长限制300，角度最小误差1.0800842003000355e-05，最大累积奖励-6675.6485877438, 最小步数300, eps=0.2883204, lr=0.5094
2023-04-08 13:29:58,712 - logger - INFO - 第8700次迭代，探索步长限制300，角度最小误差5.089430777616144e-05，最大累积奖励-6397.521429155752, 最小步数300, eps=0.2883204, lr=0.5094
2023-04-08 13:30:04,181 - logger - INFO - 第8800次迭代，探索步长限制300，角度最小误差1.7735716745015395e-05，最大累积奖励-6639.828960039143, 最小步数300, eps=0.2883204, lr=0.5094
2023-04-08 13:30:09,610 - logger - INFO - 第8900次迭代，探索步长限制300，角度最小误差1.098560539425364e-06，最大累积奖励-6617.365771158879, 最小步数300, eps=0.2883204, lr=0.5094
2023-04-08 13:30:15,205 - logger - INFO - 第9000次迭代，探索步长限制300，角度最小误差4.434314427648189e-06，最大累积奖励-6436.8593111355, 最小步数300, eps=0.2883204, lr=0.5094
2023-04-08 13:30:20,633 - logger - INFO - 第9100次迭代，探索步长限制300，角度最小误差0.0001160271864852902，最大累积奖励-6331.909548779975, 最小步数300, eps=0.2883204, lr=0.5094
2023-04-08 13:30:26,069 - logger - INFO - 第9200次迭代，探索步长限制300，角度最小误差4.7990231430095065e-05，最大累积奖励-6486.577854344797, 最小步数300, eps=0.2883204, lr=0.5094
2023-04-08 13:30:31,474 - logger - INFO - 第9300次迭代，探索步长限制300，角度最小误差0.00027217742267993117，最大累积奖励-6442.10989045234, 最小步数300, eps=0.2883204, lr=0.5094
2023-04-08 13:30:36,921 - logger - INFO - 第9400次迭代，探索步长限制300，角度最小误差9.017469116301413e-05，最大累积奖励-6511.956919620138, 最小步数300, eps=0.2883204, lr=0.5094
2023-04-08 13:30:42,310 - logger - INFO - 第9500次迭代，探索步长限制300，角度最小误差2.7804287659360938e-05，最大累积奖励-6398.78991584969, 最小步数288, eps=0.2883204, lr=0.5094
2023-04-08 13:30:47,746 - logger - INFO - 第9600次迭代，探索步长限制300，角度最小误差3.18934321175135e-06，最大累积奖励-6212.340536048878, 最小步数300, eps=0.2883204, lr=0.5094
