2023-04-07 11:33:43,677 - logger - INFO - 第6500次迭代，探索步长限制300，角度最小误差1.1187105689743717，最大累积奖励-12005.11761170169, 最小步数300, eps=0.5094, lr=0.5094
2023-04-07 11:33:44,192 - logger - INFO - 第6600次迭代，探索步长限制300，角度最小误差0.5700580170630962，最大累积奖励-11734.407879151226, 最小步数300, eps=0.5094, lr=0.5094
2023-04-07 11:33:44,657 - logger - INFO - 第6700次迭代，探索步长限制300，角度最小误差0.8308127907302731，最大累积奖励-11803.002047542603, 最小步数300, eps=0.5094, lr=0.5094
2023-04-07 11:33:45,168 - logger - INFO - 第6800次迭代，探索步长限制300，角度最小误差1.0038559105321836，最大累积奖励-11937.243460020189, 最小步数300, eps=0.5094, lr=0.5094
2023-04-07 11:33:45,736 - logger - INFO - 第6900次迭代，探索步长限制300，角度最小误差0.995087472441476，最大累积奖励-11822.61386910175, 最小步数300, eps=0.5094, lr=0.5094
2023-04-07 11:33:46,281 - logger - INFO - 第7000次迭代，探索步长限制300，角度最小误差0.9850388306626403，最大累积奖励-11837.963390745646, 最小步数300, eps=0.5094, lr=0.5094
2023-04-07 11:33:46,786 - logger - INFO - 第7100次迭代，探索步长限制300，角度最小误差0.003762446157046906，最大累积奖励-11587.41035103424, 最小步数300, eps=0.5094, lr=0.5094
2023-04-07 11:33:47,271 - logger - INFO - 第7200次迭代，探索步长限制300，角度最小误差0.9049965201717516，最大累积奖励-11951.799640665968, 最小步数300, eps=0.5094, lr=0.5094
2023-04-07 11:33:47,776 - logger - INFO - 第7300次迭代，探索步长限制300，角度最小误差0.007098003603489111，最大累积奖励-11597.216652888488, 最小步数300, eps=0.5094, lr=0.5094
2023-04-07 11:33:48,257 - logger - INFO - 第7400次迭代，探索步长限制300，角度最小误差0.863999985884806，最大累积奖励-12051.618736331, 最小步数300, eps=0.5094, lr=0.5094
2023-04-07 11:33:48,781 - logger - INFO - 第7500次迭代，探索步长限制300，角度最小误差0.6028503109511156，最大累积奖励-11379.750211286573, 最小步数300, eps=0.2883204, lr=0.5094
2023-04-07 11:33:49,267 - logger - INFO - 第7600次迭代，探索步长限制300，角度最小误差0.0002674084444862501，最大累积奖励-9847.381412460973, 最小步数300, eps=0.2883204, lr=0.5094
2023-04-07 11:33:49,723 - logger - INFO - 第7700次迭代，探索步长限制300，角度最小误差0.003485842785209581，最大累积奖励-11134.33033478869, 最小步数300, eps=0.2883204, lr=0.5094
2023-04-07 11:33:50,212 - logger - INFO - 第7800次迭代，探索步长限制300，角度最小误差0.0015511101483709488，最大累积奖励-10165.44048943997, 最小步数300, eps=0.2883204, lr=0.5094
2023-04-07 11:33:50,696 - logger - INFO - 第7900次迭代，探索步长限制300，角度最小误差0.002952773108136242，最大累积奖励-11113.008273235177, 最小步数300, eps=0.2883204, lr=0.5094
2023-04-07 11:33:51,174 - logger - INFO - 第8000次迭代，探索步长限制300，角度最小误差0.32324645165859156，最大累积奖励-10810.298136462869, 最小步数300, eps=0.2883204, lr=0.5094
