2023-04-08 14:18:30,832 - logger - INFO - 第5700次迭代，探索步长限制300，角度最小误差1.0878169601831837，最大累积奖励-11969.436512631608, 最小步数300, eps=0.5094, lr=0.9
2023-04-08 14:18:31,476 - logger - INFO - 第5800次迭代，探索步长限制300，角度最小误差1.0100519677170983，最大累积奖励-11911.464450441486, 最小步数300, eps=0.5094, lr=0.9
2023-04-08 14:18:32,117 - logger - INFO - 第5900次迭代，探索步长限制300，角度最小误差1.1318818834005686，最大累积奖励-12168.69953610728, 最小步数300, eps=0.5094, lr=0.9
2023-04-08 14:18:32,801 - logger - INFO - 第6000次迭代，探索步长限制300，角度最小误差1.0109954730277568，最大累积奖励-11972.219924517261, 最小步数300, eps=0.5094, lr=0.5094
2023-04-08 14:18:33,457 - logger - INFO - 第6100次迭代，探索步长限制300，角度最小误差0.8768407066019916，最大累积奖励-11558.787179745983, 最小步数300, eps=0.5094, lr=0.5094
2023-04-08 14:18:34,123 - logger - INFO - 第6200次迭代，探索步长限制300，角度最小误差0.8074611281223572，最大累积奖励-11846.668830424584, 最小步数300, eps=0.5094, lr=0.5094
2023-04-08 14:18:34,810 - logger - INFO - 第6300次迭代，探索步长限制300，角度最小误差0.07791845375292272，最大累积奖励-11097.022991499207, 最小步数300, eps=0.5094, lr=0.5094
2023-04-08 14:18:35,457 - logger - INFO - 第6400次迭代，探索步长限制300，角度最小误差0.027927452400918096，最大累积奖励-10727.6587206966, 最小步数300, eps=0.5094, lr=0.5094
2023-04-08 14:18:36,132 - logger - INFO - 第6500次迭代，探索步长限制300，角度最小误差0.012971938384175541，最大累积奖励-11702.118803309304, 最小步数300, eps=0.5094, lr=0.5094
2023-04-08 14:18:36,816 - logger - INFO - 第6600次迭代，探索步长限制300，角度最小误差0.24876061015225792，最大累积奖励-11304.14141764879, 最小步数300, eps=0.5094, lr=0.5094
2023-04-08 14:18:37,486 - logger - INFO - 第6700次迭代，探索步长限制300，角度最小误差0.3611185775560455，最大累积奖励-11263.989290049893, 最小步数300, eps=0.5094, lr=0.5094
2023-04-08 14:18:38,143 - logger - INFO - 第6800次迭代，探索步长限制300，角度最小误差0.018683348512556375，最大累积奖励-11722.13671840167, 最小步数300, eps=0.5094, lr=0.5094
2023-04-08 14:18:38,807 - logger - INFO - 第6900次迭代，探索步长限制300，角度最小误差0.7593839619049918，最大累积奖励-11414.010601671136, 最小步数300, eps=0.5094, lr=0.5094
2023-04-08 14:18:39,496 - logger - INFO - 第7000次迭代，探索步长限制300，角度最小误差0.4364232665084318，最大累积奖励-11216.796340241077, 最小步数300, eps=0.5094, lr=0.5094
2023-04-08 14:18:40,147 - logger - INFO - 第7100次迭代，探索步长限制300，角度最小误差0.7591602889110569，最大累积奖励-11680.817649229908, 最小步数300, eps=0.5094, lr=0.5094
2023-04-08 14:18:40,802 - logger - INFO - 第7200次迭代，探索步长限制300，角度最小误差0.003989372500795341，最大累积奖励-11384.598612391534, 最小步数300, eps=0.5094, lr=0.5094
2023-04-08 14:18:41,485 - logger - INFO - 第7300次迭代，探索步长限制300，角度最小误差0.7615086996010993，最大累积奖励-11572.767829713586, 最小步数300, eps=0.5094, lr=0.5094
2023-04-08 14:18:42,152 - logger - INFO - 第7400次迭代，探索步长限制300，角度最小误差0.7031188958327377，最大累积奖励-11461.968374547223, 最小步数300, eps=0.5094, lr=0.5094
2023-04-08 14:18:42,840 - logger - INFO - 第7500次迭代，探索步长限制300，角度最小误差0.029139507112479368，最大累积奖励-11629.522809980648, 最小步数300, eps=0.2883204, lr=0.5094
2023-04-08 14:18:43,415 - logger - INFO - 第7600次迭代，探索步长限制300，角度最小误差0.001350926172968947，最大累积奖励-11206.385701588886, 最小步数300, eps=0.2883204, lr=0.5094
2023-04-08 14:18:43,989 - logger - INFO - 第7700次迭代，探索步长限制300，角度最小误差0.00768889313130483，最大累积奖励-11144.384776848196, 最小步数300, eps=0.2883204, lr=0.5094
2023-04-08 14:18:44,605 - logger - INFO - 第7800次迭代，探索步长限制300，角度最小误差0.007031307583976076，最大累积奖励-10981.898427016837, 最小步数300, eps=0.2883204, lr=0.5094
2023-04-08 14:18:45,190 - logger - INFO - 第7900次迭代，探索步长限制300，角度最小误差0.24474521234374036，最大累积奖励-11033.948767296646, 最小步数300, eps=0.2883204, lr=0.5094
2023-04-08 14:18:45,790 - logger - INFO - 第8000次迭代，探索步长限制300，角度最小误差0.0021797764597697444，最大累积奖励-11041.83135222844, 最小步数300, eps=0.2883204, lr=0.5094
2023-04-08 14:18:46,376 - logger - INFO - 第8100次迭代，探索步长限制300，角度最小误差0.0011957023124131716，最大累积奖励-10777.046813824161, 最小步数300, eps=0.2883204, lr=0.5094
2023-04-08 14:18:46,977 - logger - INFO - 第8200次迭代，探索步长限制300，角度最小误差0.005672458682317583，最大累积奖励-8415.647520466484, 最小步数221, eps=0.2883204, lr=0.5094
2023-04-08 14:18:47,564 - logger - INFO - 第8300次迭代，探索步长限制300，角度最小误差0.016733676810926745，最大累积奖励-10959.620271606167, 最小步数300, eps=0.2883204, lr=0.5094
2023-04-08 14:18:48,161 - logger - INFO - 第8400次迭代，探索步长限制300，角度最小误差0.0009191399011245771，最大累积奖励-10380.310328558857, 最小步数300, eps=0.2883204, lr=0.5094
2023-04-08 14:18:48,788 - logger - INFO - 第8500次迭代，探索步长限制300，角度最小误差0.001849974707973434，最大累积奖励-11058.230293737039, 最小步数300, eps=0.2883204, lr=0.5094
2023-04-08 14:18:49,382 - logger - INFO - 第8600次迭代，探索步长限制300，角度最小误差0.00019283493785238193，最大累积奖励-8830.473455878328, 最小步数300, eps=0.2883204, lr=0.5094
2023-04-08 14:18:49,987 - logger - INFO - 第8700次迭代，探索步长限制300，角度最小误差0.00018387166725997162，最大累积奖励-9651.309020400402, 最小步数300, eps=0.2883204, lr=0.5094
2023-04-08 14:18:50,563 - logger - INFO - 第8800次迭代，探索步长限制300，角度最小误差0.000217451839031213，最大累积奖励-10945.466451847396, 最小步数300, eps=0.2883204, lr=0.5094
2023-04-08 14:18:51,162 - logger - INFO - 第8900次迭代，探索步长限制300，角度最小误差0.00020005311649340385，最大累积奖励-10969.355967756204, 最小步数300, eps=0.2883204, lr=0.5094
2023-04-08 14:18:51,756 - logger - INFO - 第9000次迭代，探索步长限制300，角度最小误差0.0001464143135012641，最大累积奖励-10170.158219760464, 最小步数300, eps=0.2883204, lr=0.5094
2023-04-08 14:18:52,342 - logger - INFO - 第9100次迭代，探索步长限制300，角度最小误差0.002825170954429357，最大累积奖励-10530.191595429636, 最小步数300, eps=0.2883204, lr=0.5094
2023-04-08 14:18:52,924 - logger - INFO - 第9200次迭代，探索步长限制300，角度最小误差0.0003016924557548428，最大累积奖励-9500.77940809033, 最小步数300, eps=0.2883204, lr=0.5094
2023-04-08 14:18:53,495 - logger - INFO - 第9300次迭代，探索步长限制300，角度最小误差0.00028577853986444524，最大累积奖励-9270.87944840271, 最小步数300, eps=0.2883204, lr=0.5094
2023-04-08 14:18:54,082 - logger - INFO - 第9400次迭代，探索步长限制300，角度最小误差0.0010285440695585457，最大累积奖励-11173.172541597427, 最小步数300, eps=0.2883204, lr=0.5094
2023-04-08 14:18:54,665 - logger - INFO - 第9500次迭代，探索步长限制300，角度最小误差0.00013652468242231208，最大累积奖励-11186.28056965022, 最小步数300, eps=0.2883204, lr=0.5094
2023-04-08 14:18:55,232 - logger - INFO - 第9600次迭代，探索步长限制300，角度最小误差0.001608745222243968，最大累积奖励-9508.343267601334, 最小步数300, eps=0.2883204, lr=0.5094
2023-04-08 14:18:55,829 - logger - INFO - 第9700次迭代，探索步长限制300，角度最小误差0.00011146074774748271，最大累积奖励-11034.622540525106, 最小步数300, eps=0.2883204, lr=0.5094
2023-04-08 14:18:56,428 - logger - INFO - 第9800次迭代，探索步长限制300，角度最小误差0.0002661877154919168，最大累积奖励-8969.568411530276, 最小步数300, eps=0.2883204, lr=0.5094
2023-04-08 14:18:57,087 - logger - INFO - 第9900次迭代，探索步长限制300，角度最小误差8.564151009693433e-05，最大累积奖励-10027.799230635526, 最小步数300, eps=0.2883204, lr=0.5094
2023-04-08 14:18:57,881 - logger - INFO - 第10000次迭代，探索步长限制300，角度最小误差0.0012134459500714456，最大累积奖励-11138.4337284091, 最小步数300, eps=0.2883204, lr=0.5094
